project_id,run_id,validity_agreement,critical_agreement,high_agreement,score_difference,coverage_difference,source_availability_agreement_percent,page_pairing_agreement,registration_agreement
1110101,RUN-1110101-CAL006-A,True,True,True,0,0,100.0,True,True
1110104,RUN-1110104-CAL006-A,True,True,True,0,0,100.0,True,True
1110204,RUN-1110204-CAL006-A,True,True,True,0,0,100.0,True,True
1110205,RUN-1110205-CAL006-A,True,True,True,0,0,100.0,True,True
1110405,RUN-1110405-CAL006-A,True,True,True,0,0,100.0,True,True
1110410,RUN-1110410-CAL006-A,True,True,True,0,0,100.0,True,True
