decision_id,relative_path,worksheet_name,worksheet_visibility,proposed_decision,reason_codes,parse_status,worksheet_fingerprint
SGD-E545F2AD4DC168,111年度工作\111年度工作\111年度訂單(已完成)\1110103國倫水電控制箱\工作記錄單國倫水電控制箱ls.xls,,unknown,PARSER_REQUIRED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,PARSER_REQUIRED,
SGD-E74EECAFB1F567,111年度工作\111年度工作\111年度訂單(已完成)\1110103國倫水電控制箱\孫先生控制盤材料清單xls.xls,,unknown,PARSER_REQUIRED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,PARSER_REQUIRED,
SGD-1A5B6C1A83A5F8,111年度工作\111年度工作\111年度訂單(已完成)\1110103國倫水電控制箱\孫先生控制盤新xls.xls,,unknown,PARSER_REQUIRED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,PARSER_REQUIRED,
