decision_id,source_root_id,project_id,family_id,relative_path,file_name,file_id,sheet_id,file_sha256,file_size,workbook_format,worksheet_name,worksheet_visibility,worksheet_fingerprint,workbook_sheet_count,detected_project_identifiers,detected_customer_identifiers,detected_document_role,parser_name,parser_version,parse_status,formula_dependency_status,external_link_status,named_range_status,revision_status,duplicate_or_supersession,proposed_decision,final_decision,reason_codes,evidence_references,policy_version,reviewer_or_approver,decision_timestamp,approval_manifest_hash,sanitized_artifact_hash,sanitized_csv_path,sanitized_csv_sha256,non_empty_rows
SGD-BAECAB434E05EA,SRC-ALL-PROJECTS,1120101,顯茂工程,112年度工作\112年度工作\1120101顯茂工程-聯電P6 WH棟新建工程\聯電 12A P6新建WH棟電氣工程標單 -分電盤用順大材料清單.xlsx,聯電 12A P6新建WH棟電氣工程標單 -分電盤用順大材料清單.xlsx,SRC-ALL-PROJECTS-FILE-4FACB8438624,SRC-ALL-PROJECTS-FILE-4FACB8438624-SHEET-001,0E9D62E5493F02930BC8C739FDA25FB0692FE4C51DAD293F5FF6E45C07673C7B,43322,xlsx,電氣工程A標標單明細,visible,E207D101E6992A66F43FEBB0E30ED8F5FB11F2A7DF47D0A8693D8C3CB4011CDF,2,1120101,顯茂工程,allowed_material_list_workbook,openpyxl,3.1.5,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,NEEDS_HUMAN_REVIEW,UNREVIEWED,INSUFFICIENT_IDENTITY,SRC-ALL-PROJECTS-FILE-4FACB8438624|SRC-ALL-PROJECTS-FILE-4FACB8438624-SHEET-001,source_guard_policy_v1,,,,,,,
SGD-5B7F51B8CC8506,SRC-ALL-PROJECTS,1120101,顯茂工程,112年度工作\112年度工作\1120101顯茂工程-聯電P6 WH棟新建工程\聯電 12A P6新建WH棟電氣工程標單 -分電盤用順大材料清單.xlsx,聯電 12A P6新建WH棟電氣工程標單 -分電盤用順大材料清單.xlsx,SRC-ALL-PROJECTS-FILE-4FACB8438624,SRC-ALL-PROJECTS-FILE-4FACB8438624-SHEET-002,0E9D62E5493F02930BC8C739FDA25FB0692FE4C51DAD293F5FF6E45C07673C7B,43322,xlsx,三菱,visible,5FE97D4E3E280E67BBC6D74C96118B59C3B1EAD565142422FA4D5ABC8895A150,2,1120101,顯茂工程,allowed_material_list_workbook,openpyxl,3.1.5,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,NEEDS_HUMAN_REVIEW,UNREVIEWED,INSUFFICIENT_IDENTITY,SRC-ALL-PROJECTS-FILE-4FACB8438624|SRC-ALL-PROJECTS-FILE-4FACB8438624-SHEET-002,source_guard_policy_v1,,,,,,,
SGD-AEF832B09557EF,SRC-ALL-PROJECTS,1120101,顯茂工程,112年度工作\112年度工作\1120101顯茂工程-聯電P6 WH棟新建工程\顯茂-聯電P6倉庫棟新建工程工作紀錄單.xls,顯茂-聯電P6倉庫棟新建工程工作紀錄單.xls,SRC-ALL-PROJECTS-FILE-56A187B15455,SRC-ALL-PROJECTS-FILE-56A187B15455-XLS-SHEET-001,883F639DC00385B813DFF35E8FE3873E3E547C7F3B1C9716855C3B0FA85A36C1,71680,xls,含稅,visible,8D6D4E7DFF5BE2B239C4195E6B649D92BC72C21554DF166FD6BDF04CF8E6BEC5,2,1120101,顯茂工程,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-56A187B15455|SRC-ALL-PROJECTS-FILE-56A187B15455-XLS-SHEET-001,source_guard_policy_v2_autonomous_eval,,,,,manifests\baseline-024\source_candidates\batch-001\legacy_xls\1120101\legacy_xls_parse\1120101\SRC-ALL-PROJECTS-FILE-56A187B15455\001_含稅.csv,1B204C5C2261878D2216C81F432548D2DFB0D080C5A7F39CFB670AB745D9E191,35
SGD-B0F75172BDF2A3,SRC-ALL-PROJECTS,1120101,顯茂工程,112年度工作\112年度工作\1120101顯茂工程-聯電P6 WH棟新建工程\顯茂-聯電P6倉庫棟新建工程工作紀錄單.xls,顯茂-聯電P6倉庫棟新建工程工作紀錄單.xls,SRC-ALL-PROJECTS-FILE-56A187B15455,SRC-ALL-PROJECTS-FILE-56A187B15455-XLS-SHEET-002,883F639DC00385B813DFF35E8FE3873E3E547C7F3B1C9716855C3B0FA85A36C1,71680,xls,未稅,visible,B0B201433915C0A055BC1EACB9AB3CC363C174FA5D2D936DB7344B2806319408,2,1120101,顯茂工程,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-56A187B15455|SRC-ALL-PROJECTS-FILE-56A187B15455-XLS-SHEET-002,source_guard_policy_v2_autonomous_eval,,,,,manifests\baseline-024\source_candidates\batch-001\legacy_xls\1120101\legacy_xls_parse\1120101\SRC-ALL-PROJECTS-FILE-56A187B15455\002_未稅.csv,B7426C51FEAF32F78B6AD19D99630D7F7A1FED0D3E77FCC893F810287E27C137,29
SGD-8B0C9D84721D54,SRC-ALL-PROJECTS,1120101,顯茂工程,112年度工作\112年度工作\1120101顯茂工程-聯電P6 WH棟新建工程\聯電 12A P6新建WH棟電氣工程標單 -佳樺 改(業務需辦追加).xlsx,聯電 12A P6新建WH棟電氣工程標單 -佳樺 改(業務需辦追加).xlsx,SRC-ALL-PROJECTS-FILE-72227B7B1BED,SRC-ALL-PROJECTS-FILE-72227B7B1BED-SHEET-001,E4279FC9A3FDC7EFFE02B66C0170C75A2786048AA0D3B760014AB0A028A085E1,46137,xlsx,電氣工程A標標單明細,visible,E207D101E6992A66F43FEBB0E30ED8F5FB11F2A7DF47D0A8693D8C3CB4011CDF,2,1120101,顯茂工程,spreadsheet_other,openpyxl,3.1.5,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,NEEDS_HUMAN_REVIEW,UNREVIEWED,INSUFFICIENT_IDENTITY,SRC-ALL-PROJECTS-FILE-72227B7B1BED|SRC-ALL-PROJECTS-FILE-72227B7B1BED-SHEET-001,source_guard_policy_v1,,,,,,,
SGD-CA0E1F51E7C2B3,SRC-ALL-PROJECTS,1120101,顯茂工程,112年度工作\112年度工作\1120101顯茂工程-聯電P6 WH棟新建工程\聯電 12A P6新建WH棟電氣工程標單 -佳樺 改(業務需辦追加).xlsx,聯電 12A P6新建WH棟電氣工程標單 -佳樺 改(業務需辦追加).xlsx,SRC-ALL-PROJECTS-FILE-72227B7B1BED,SRC-ALL-PROJECTS-FILE-72227B7B1BED-SHEET-002,E4279FC9A3FDC7EFFE02B66C0170C75A2786048AA0D3B760014AB0A028A085E1,46137,xlsx,三菱,visible,4878F92117479F2CD880BB2B8AA85E214FCA73F98DD82A2E6B1B730070996DC4,2,1120101,顯茂工程,spreadsheet_other,openpyxl,3.1.5,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,NEEDS_HUMAN_REVIEW,UNREVIEWED,INSUFFICIENT_IDENTITY,SRC-ALL-PROJECTS-FILE-72227B7B1BED|SRC-ALL-PROJECTS-FILE-72227B7B1BED-SHEET-002,source_guard_policy_v1,,,,,,,
SGD-47ADC3CC07E7ED,SRC-ALL-PROJECTS,1120101,顯茂工程,112年度工作\112年度工作\1120101顯茂工程-聯電P6 WH棟新建工程\顯茂-聯電P6倉庫棟新建工程(分析表).xlsx,顯茂-聯電P6倉庫棟新建工程(分析表).xlsx,SRC-ALL-PROJECTS-FILE-7C35EAD912DA,SRC-ALL-PROJECTS-FILE-7C35EAD912DA-SHEET-001,838F138BC18DDCDFA208038B85A0FF48687D1B9D3E57F2496E8BDA9AD38C34A6,13211,xlsx,分析表,visible,02FB6DCC8162CCCDD5C08C3C12CFFA9FAE968704C6651A376E7F26B6983B9059,1,1120101,顯茂工程,spreadsheet_other,openpyxl,3.1.5,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,NEEDS_HUMAN_REVIEW,UNREVIEWED,INSUFFICIENT_IDENTITY,SRC-ALL-PROJECTS-FILE-7C35EAD912DA|SRC-ALL-PROJECTS-FILE-7C35EAD912DA-SHEET-001,source_guard_policy_v1,,,,,,,
SGD-BECDB9C5C32B0C,SRC-ALL-PROJECTS,1120101,顯茂工程,112年度工作\112年度工作\1120101顯茂工程-聯電P6 WH棟新建工程\顯茂-聯電P6倉庫棟新建工程(訂單成本分析表).xls,顯茂-聯電P6倉庫棟新建工程(訂單成本分析表).xls,SRC-ALL-PROJECTS-FILE-AA9926E01A25,SRC-ALL-PROJECTS-FILE-AA9926E01A25-XLS-SHEET-001,433B157E0BD338E9406BE270700C9C40DFD77529A63F5CC51FC42F16E25717CE,39424,xls,Sheet1 (3),visible,BC93BC93CA93E53693CF4762685953010AC4C40E1B0581FBD73A3BC456E932C5,1,1120101,顯茂工程,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,CANDIDATE,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED,SRC-ALL-PROJECTS-FILE-AA9926E01A25|SRC-ALL-PROJECTS-FILE-AA9926E01A25-XLS-SHEET-001,source_guard_policy_v2_autonomous_eval,,,,,manifests\baseline-024\source_candidates\batch-001\legacy_xls\1120101\legacy_xls_parse\1120101\SRC-ALL-PROJECTS-FILE-AA9926E01A25\001_Sheet1 (3).csv,BFB744652852613EE7B2A98E996A3D14BE0C4D9D6AEDDBFE39D76E30EAE6E72C,24
SGD-17D0D1656FD4EA,SRC-ALL-PROJECTS,1120101,顯茂工程,112年度工作\112年度工作\1120101顯茂工程-聯電P6 WH棟新建工程\聯電 12A P6新建WH棟電氣工程標單 -分電盤用順大追加減後價(合約).xlsx,聯電 12A P6新建WH棟電氣工程標單 -分電盤用順大追加減後價(合約).xlsx,SRC-ALL-PROJECTS-FILE-C073614189FA,SRC-ALL-PROJECTS-FILE-C073614189FA-SHEET-001,06E6B7C82037C39621BE492FEB2CE68056CC7AC3FF91F84C0454CA3634077C14,37568,xlsx,電氣工程A標標單明細,visible,2EF4672DD08816D9721A91A098F4A9D429D2EF24C34C158C53CBD5A2D19DE5F6,1,1120101,顯茂工程,allowed_contract_workbook,openpyxl,3.1.5,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,NEEDS_HUMAN_REVIEW,UNREVIEWED,INSUFFICIENT_IDENTITY,SRC-ALL-PROJECTS-FILE-C073614189FA|SRC-ALL-PROJECTS-FILE-C073614189FA-SHEET-001,source_guard_policy_v1,,,,,,,
SGD-3CDF9708BAAF14,SRC-ALL-PROJECTS,1120101,顯茂工程,112年度工作\112年度工作\1120101顯茂工程-聯電P6 WH棟新建工程\聯電 12A P6新建WH棟電氣工程標單 -分電盤用順大承製價(合約).xlsx,聯電 12A P6新建WH棟電氣工程標單 -分電盤用順大承製價(合約).xlsx,SRC-ALL-PROJECTS-FILE-DC3DC665590C,SRC-ALL-PROJECTS-FILE-DC3DC665590C-SHEET-001,147D23825CAD4A2EFB9F6D8ECFD41A6D6524B32F4E03848BC05219E7ABB97AF0,29447,xlsx,電氣工程A標標單明細,visible,CC1324177FB953A0A3C4F977E85F8D77A5AD4E7C703C9B7DD1F7191079CAEED1,1,1120101,顯茂工程,allowed_contract_workbook,openpyxl,3.1.5,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,NEEDS_HUMAN_REVIEW,UNREVIEWED,INSUFFICIENT_IDENTITY,SRC-ALL-PROJECTS-FILE-DC3DC665590C|SRC-ALL-PROJECTS-FILE-DC3DC665590C-SHEET-001,source_guard_policy_v1,,,,,,,
