"file_id","source_root","relative_path","file_name","extension","size_bytes","sha256","library_status","generator_eligibility"
"SRC-ALL-PROJECTS-FILE-46BCE16BDB15","SRC-ALL-PROJECTS","113年度工作\1130309桂田-磐古二期\圖面\E3 電氣繪圖-單線圖(變更設計三)  2024.06.17.bak.dwg","E3 電氣繪圖-單線圖(變更設計三)  2024.06.17.bak.dwg",".dwg","3782254","43E17605012364EF026968DFF874BD20672C6E76DDE7963B19B79506D5F74AFD","PROJECT_LOCAL_CAD_FILE_NOT_APPROVED_ST_BLOCK1","HUMAN_REVIEW_REQUIRED"
"SRC-ALL-PROJECTS-FILE-3A9F3568E08C","SRC-ALL-PROJECTS","113年度工作\1130309桂田-磐古二期\圖面\E3 電氣繪圖-單線圖(變更設計三)  2024.12.13.dwg","E3 電氣繪圖-單線圖(變更設計三)  2024.12.13.dwg",".dwg","1944910","8F165D3DF52F23B0C6D06927147AD53DF7BF5CF350E9E0BD9387DD7C407C174F","PROJECT_LOCAL_CAD_FILE_NOT_APPROVED_ST_BLOCK1","HUMAN_REVIEW_REQUIRED"
"SRC-ALL-PROJECTS-FILE-D048EE905292","SRC-ALL-PROJECTS","113年度工作\1130309桂田-磐古二期\圖面\磐古分電盤.dwg","磐古分電盤.dwg",".dwg","7691977","8E523A44BB1DF895AD87C46389598DFBD74C271E37CA395AC721CF1EA86D11BD","PROJECT_LOCAL_CAD_FILE_NOT_APPROVED_ST_BLOCK1","HUMAN_REVIEW_REQUIRED"
"SRC-ALL-PROJECTS-FILE-098DD3D4C98A","SRC-ALL-PROJECTS","113年度工作\1130309桂田-磐古二期\圖面\磐古受電箱.dwg","磐古受電箱.dwg",".dwg","4593832","FB3CF122B1A76AE4B239D7F03BD101BF83D2ACF8D214675B972985606B933808","PROJECT_LOCAL_CAD_FILE_NOT_APPROVED_ST_BLOCK1","HUMAN_REVIEW_REQUIRED"
"SRC-ALL-PROJECTS-FILE-C15A9225D194","SRC-ALL-PROJECTS","113年度工作\1130309桂田-磐古二期\圖面\磐古各戶+弱電.dwg","磐古各戶+弱電.dwg",".dwg","5263214","A005556D0DD447FADDBAD7C52BB3827F9D47780B71058D1A1CF340B8B718B6D0","PROJECT_LOCAL_CAD_FILE_NOT_APPROVED_ST_BLOCK1","HUMAN_REVIEW_REQUIRED"
"SRC-ALL-PROJECTS-FILE-5F5CCA5248D0","SRC-ALL-PROJECTS","113年度工作\1130309桂田-磐古二期\圖面\磐古弱電箱.dwg","磐古弱電箱.dwg",".dwg","410046","4CC5A43AB660AC9D9E3E975DB0122FA91CCAE570146D724ABB4FF68CB6CF72A8","PROJECT_LOCAL_CAD_FILE_NOT_APPROVED_ST_BLOCK1","HUMAN_REVIEW_REQUIRED"
"SRC-ALL-PROJECTS-FILE-00B129C4382B","SRC-ALL-PROJECTS","113年度工作\1130309桂田-磐古二期\圖面\磐古落地盤.dwg","磐古落地盤.dwg",".dwg","2174618","41E8814604FD4212C79575EB0FFD35C3FA9D64C432A5B05F9AA618F94CFCB0E6","PROJECT_LOCAL_CAD_FILE_NOT_APPROVED_ST_BLOCK1","HUMAN_REVIEW_REQUIRED"
"SRC-ALL-PROJECTS-FILE-D44AE0EE75C6","SRC-ALL-PROJECTS","113年度工作\1130508桂田-飛宏三廠廠房辦公室新建工程\圖面\1.電力-送審圖(1).dwg","1.電力-送審圖(1).dwg",".dwg","3263850","C7148CA8E27F2345703B372991B49F34479B45C954E4A1133F3C8B1889831C78","PROJECT_LOCAL_CAD_FILE_NOT_APPROVED_ST_BLOCK1","HUMAN_REVIEW_REQUIRED"
"SRC-ALL-PROJECTS-FILE-208C668EF18C","SRC-ALL-PROJECTS","113年度工作\1130508桂田-飛宏三廠廠房辦公室新建工程\圖面\1.電力-送審圖2010.dwg","1.電力-送審圖2010.dwg",".dwg","3328821","F62FF9527EB3645D7B3308F38D69630C66E8014443BBF6407C732BD95F80F75B","PROJECT_LOCAL_CAD_FILE_NOT_APPROVED_ST_BLOCK1","HUMAN_REVIEW_REQUIRED"
"SRC-ALL-PROJECTS-FILE-A14216D5A7C4","SRC-ALL-PROJECTS","113年度工作\1130508桂田-飛宏三廠廠房辦公室新建工程\圖面\BF停車場燈具套圖202010121V022010.dwg","BF停車場燈具套圖202010121V022010.dwg",".dwg","12405029","4802AE6A5D187C49411957A8CF8F6BFBEB888A1A5C65D50DEBE8B892F16D4C5F","PROJECT_LOCAL_CAD_FILE_NOT_APPROVED_ST_BLOCK1","HUMAN_REVIEW_REQUIRED"
"SRC-ALL-PROJECTS-FILE-AA9B6EC326DA","SRC-ALL-PROJECTS","113年度工作\1130508桂田-飛宏三廠廠房辦公室新建工程\圖面\儀錶接線圖.dwg","儀錶接線圖.dwg",".dwg","4816627","79501A69E230025E3F1955BBAFAD41A42F0E572EE6DFABF41A5F19D045CD2B22","PROJECT_LOCAL_CAD_FILE_NOT_APPROVED_ST_BLOCK1","HUMAN_REVIEW_REQUIRED"
"SRC-ALL-PROJECTS-FILE-BC0CF05D2EE7","SRC-ALL-PROJECTS","113年度工作\1130508桂田-飛宏三廠廠房辦公室新建工程\圖面\儀錶接線圖2010.dwg","儀錶接線圖2010.dwg",".dwg","4117245","BF41283CA5E17B0A932CF2D59B322E8C4000ACDDA8F45529EA91EB2BD05710E2","PROJECT_LOCAL_CAD_FILE_NOT_APPROVED_ST_BLOCK1","HUMAN_REVIEW_REQUIRED"
"SRC-ALL-PROJECTS-FILE-DD1352A301F6","SRC-ALL-PROJECTS","113年度工作\1130508桂田-飛宏三廠廠房辦公室新建工程\圖面\控制圖-3相3線4線電源指示燈(113.12.29).dwg","控制圖-3相3線4線電源指示燈(113.12.29).dwg",".dwg","2138072","E4CE375D847A14743C4CD599CC1F378FF0F2B73955166597025061129B48BD7C","PROJECT_LOCAL_CAD_FILE_NOT_APPROVED_ST_BLOCK1","HUMAN_REVIEW_REQUIRED"
