project_id,project_path,project_name,file_count,workbook_count,allowed_contract_workbook_count,allowed_material_list_workbook_count,allowed_supporting_workbook_count,forbidden_production_control_file_count,forbidden_electrical_drawing_count,completed_production_drawing_reference_count,completed_sheetmetal_drawing_reference_count,completed_punch_drawing_reference_count,has_all_three_completed_targets,has_forbidden_sources,generator_candidate_status,notes
1150501,115年度工作\115年度工作\1150501顯茂-聯電地震儀用插座盤\1150501生管文件,1150501顯茂-聯電地震儀用插座盤,8,4,0,0,0,1,1,0,3,0,False,True,WORKSHEET_REVIEW_REQUIRED,
1150502,115年度工作\115年度工作\1150502器識-黑影機隔離盤\1150502生管文件,1150502器識-黑影機隔離盤,8,4,0,0,0,1,1,0,3,0,False,True,WORKSHEET_REVIEW_REQUIRED,
1150503,115年度工作\115年度工作\1150503盛福-烏日至南屯送水管北段\1150503生管文件,1150503盛福-烏日至南屯送水管北段,11,8,1,1,0,1,0,0,3,0,False,True,WORKSHEET_REVIEW_REQUIRED,
1150504,115年度工作\115年度工作\1150504榮陳-南投水里鄉水里路148巷延管\1150504生管文件,1150504榮陳-南投水里鄉水里路148巷延管,8,8,2,1,0,1,0,0,0,0,False,True,WORKSHEET_REVIEW_REQUIRED,
1150505,115年度工作\115年度工作\1150505榮陳-鹿港彰濱等場站廢水設備改善\1150505生管文件,1150505榮陳-鹿港彰濱等場站廢水設備改善,12,8,1,1,0,1,0,0,4,0,False,True,WORKSHEET_REVIEW_REQUIRED,
1150506,115年度工作\115年度工作\1150506榮陳-南臺中淨水場送水管線(管三)\1150506生管文件,1150506榮陳-南臺中淨水場送水管線(管三),8,8,1,1,0,1,0,0,0,0,False,True,WORKSHEET_REVIEW_REQUIRED,
1150507,115年度工作\115年度工作\1150507榮陳-南臺中淨水廠送水管線(管四)\1150507生管文件,1150507榮陳-南臺中淨水廠送水管線(管四),8,8,1,1,0,1,0,0,0,0,False,True,WORKSHEET_REVIEW_REQUIRED,
1150508,115年度工作\115年度工作\1150508詠翔鑫-漢泰無塵室開關箱\1150508生管文件,1150508詠翔鑫-漢泰無塵室開關箱,11,6,0,0,0,3,1,0,4,0,False,True,WORKSHEET_REVIEW_REQUIRED,
1150509,115年度工作\115年度工作\1150509榮陳-翁公園場4號井重鑿機電設備設置\1150509生管文件,1150509榮陳-翁公園場4號井重鑿機電設備設置,8,8,1,1,0,1,0,0,0,0,False,True,WORKSHEET_REVIEW_REQUIRED,
1150510,115年度工作\115年度工作\1150510顯茂-NFB零料購買,1150510顯茂-NFB零料購買,2,1,0,0,0,0,0,0,0,0,False,False,WORKSHEET_REVIEW_REQUIRED,
1150511,115年度工作\115年度工作\1150511育鎮-開關箱,1150511育鎮-開關箱,3,3,0,0,0,0,0,0,0,0,False,False,WORKSHEET_REVIEW_REQUIRED,
1150601,115年度工作\115年度工作\1150601榮陳-台南市楠西區紹興里5鄰等延管\1150601生管文件,1150601榮陳-台南市楠西區紹興里5鄰等延管,8,8,1,1,0,1,0,0,0,0,False,True,WORKSHEET_REVIEW_REQUIRED,
1150602,115年度工作\115年度工作\1150602皓宇-將軍分局新設電源盤\1150602生管文件,1150602皓宇-將軍分局新設電源盤,9,4,0,0,0,2,0,0,3,0,False,True,WORKSHEET_REVIEW_REQUIRED,
1150603,115年度工作\115年度工作\1150603國倫-茄苳橋站400MM流量計增設\1150603生管文件,1150603國倫-茄苳橋站400MM流量計增設,8,8,1,1,0,1,0,0,0,0,False,True,WORKSHEET_REVIEW_REQUIRED,
1150604,115年度工作\115年度工作\1150604榮陳-八卦山名間系統旱灌區追加盤\1150604生管文件,1150604榮陳-八卦山名間系統旱灌區追加盤,6,6,1,1,0,1,0,0,0,0,False,True,WORKSHEET_REVIEW_REQUIRED,
1150605,115年度工作\115年度工作\1150605榮陳-埔里鎮史港坑深井機電\1150605生管文件,1150605榮陳-埔里鎮史港坑深井機電,8,8,1,1,0,1,0,0,0,0,False,True,WORKSHEET_REVIEW_REQUIRED,
