材料清單,,,,,,,,
項目,規    格    說    明,單位,數量,單  價,複  價,備  註,,
11,中央監視主控制設備，圖控軟體運行版。,套,1,,不含估價,詳規範,,
12,中央監視主控制設備，圖控軟體，規劃、設計及編輯,式,1,,不含估價,,,
13,中央監視主控制設備，印表機，A4 點矩陣式,台,1,,不含估價,,,
14,中央監視主控制設備，顯示器，液晶顯示，19吋以上,台,1,,不含估價,,,
15,中央監視主控制設備，集線器，網路交換器16埠以上，機架式,台,1,,不含估價,,,
16,全功能彩色攝影機,台,1,,不含估價,,,
17,固定式彩色攝影機,台,1,,不含估價,,,
18,閉路電視設備，NVR 8CH，硬碟4T以上,台,1,,不含估價,,,
19,19吋機櫃(41U),座,1,,不含估價,,,
20,監視設備管材線材及其他另料,式,1,,不含估價,,,
21,監視設備安裝施工及測試費,式,1,,不含估價,,,
22,盤內照明(附微動開關),組,2,900,1800,,,
23,盤內通風扇(附溫度開關),只,2,1100,2200,,,
24,盤內加熱器(附濕度開關),只,1,2800,2800,,,
25,電信接地 R<25Ω(責任施工),只,1,,不含估價,,,
26,電信接地測試箱(R<25Ω)，不銹鋼板烤漆(含接地銅牌),只,1,,不含估價,,,
27,配電盤PC基礎座(210kgf/cm2混凝土),式,1,,不含估價,,,
28,配電盤銅匯流排及固定架,式,1,2800,2800,,,
29,配電盤盤內補助電驛,式,1,3000,3000,,,
30,配電盤五金、另料、端子及名牌等,式,1,3000,3000,,,
31,配電盤配線材料費,式,1,4000,4000,,,
32,配電盤組立工資,式,1,15000,15000,,,
33,零星工料,式,1,,不含估價,,,
34,運雜費及安裝費,式,1,,不含估價,,,
35,工具損耗及其他,式,1,,不含估價,,,
,小計,,,,0,,,
(五),避雷針及其他接地設備，電線電纜及導線管材料及安裝,,,,0,,,
1,放電式避雷針，保護半徑≧79M,組,1,,不含估價,,,
2,避雷針不銹鋼支架(含基座)，H>=3M,座,1,,不含估價,,,
3,接地測試箱(含計數器)，不銹鋼板烤漆不銹鋼板烤漆(含接地銅牌),組,2,,不含估價,,,
,接地測試箱()，不銹鋼板烤漆不銹鋼板烤漆(含接地銅牌),組,2,,不含估價,,,
4,避雷針接地 R<10Ω(責任施工),式,1,,不含估價,,,
5,600V電力電纜(XLPE)，1/C，200mm2,M,200,,不含估價,,,
6,600V電力電纜(XLPE)，1/C，50mm2,M,50,,不含估價,,,
7,600V電力電纜(XLPE)，1/C，38mm2,M,300,,不含估價,,,
8,600V電力電纜(XLPE)，1/C，22mm2,M,300,,不含估價,,,
9,600V電力電纜(XLPE)，1/C，14mm2,M,100,,不含估價,,,
10,遮蔽電纜，2/C，2.0mm2,M,100,,不含估價,,,
11,PVC電線 1/C，100mm2,M,100,,不含估價,,,
11,硬質聚氯乙烯塑膠管，E管，標稱80mm,M,60,,不含估價,,,
12,硬質聚氯乙烯塑膠管，E管，標稱52mm,M,400,,不含估價,,,
13,硬質聚氯乙烯塑膠管，E管，標稱35mm,M,100,,不含估價,,,
14,硬質聚氯乙烯塑膠管，E管，標稱28mm,M,200,,不含估價,,,
15,硬質聚氯乙烯塑膠管，E管，標稱20mm,M,200,,不含估價,,,
16,預鑄電力手孔，預鑄手孔，640Φx1100(mm)，含鑄鐵蓋組,組,2,,不含估價,,,
17,"電氣管路隔板3""-3B及3A",式,1,,不含估價,,,
18,水位計指示器,只,1,,不含估價,,,
19,水位計不銹鋼隔熱箱,只,1,,不含估價,,,
20,配管配線另料,式,1,,不含估價,,,
21,工具損耗及其他雜費,式,1,,不含估價,,,
22,施工安裝費,式,1,,不含估價,,,
23,電力簽證及電信申請手續費(變電場所),式,1,,不含估價,不含規費,,
24,試車及教育訓練,式,1,,不含估價,,,
,運費卡車可達地面不含現場搬運定位,式,1,14000,14000,,,
,圖面設計及管理費,式,1,28850,28850,,,
,,,,小計,400000,未稅,,
,順大電機賴明春111/1/13,,,,,,,
