decision_id,relative_path,worksheet_name,worksheet_visibility,proposed_decision,reason_codes,parse_status,worksheet_fingerprint
SGD-19295E5E541E1D,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2\飛達鳥嘴潭下游送水管E-2生產能力分析表.xls,,unknown,PARSER_REQUIRED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,PARSER_REQUIRED,
SGD-5A8CAE302C45DC,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2\飛達機電鳥嘴潭送水管E-2訂單成本分析.xls,,unknown,PARSER_REQUIRED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,PARSER_REQUIRED,
SGD-8B8331C04F95F9,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2\飛達鳥嘴潭下游送水管E-2生產合約審查表.xls,,unknown,PARSER_REQUIRED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,PARSER_REQUIRED,
SGD-FA07378AEC4A4E,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2\工作記錄單飛達鳥嘴潭下游送水管E-2xls.xls,,unknown,PARSER_REQUIRED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,PARSER_REQUIRED,
SGD-AACFDF36AEFFE5,111年度工作\111年度工作\111年度訂單(已完成)\1110101飛達鳥嘴潭下游送水管E-2\鳥嘴潭人工湖下游送水管E-2合約.xls,,unknown,PARSER_REQUIRED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,PARSER_REQUIRED,
