decision_id,source_root_id,project_id,family_id,relative_path,file_name,file_id,sheet_id,file_sha256,file_size,workbook_format,worksheet_name,worksheet_visibility,worksheet_fingerprint,workbook_sheet_count,detected_project_identifiers,detected_customer_identifiers,detected_document_role,parser_name,parser_version,parse_status,formula_dependency_status,external_link_status,named_range_status,revision_status,duplicate_or_supersession,proposed_decision,final_decision,reason_codes,evidence_references,policy_version,reviewer_or_approver,decision_timestamp,approval_manifest_hash,sanitized_artifact_hash
SGD-EB7F6CF56E271C,SRC-ALL-PROJECTS,1110801,華格,111年度工作\111年度工作\111年度訂單(已完成)\1110801華格-內埔工業區汙水管路工程\華格-內埔工業區汙水管路工程工作紀錄單.xls,華格-內埔工業區汙水管路工程工作紀錄單.xls,SRC-ALL-PROJECTS-FILE-3FB79B273283,SRC-ALL-PROJECTS-FILE-3FB79B273283-XLS-SHEET-001,881608D165CE55F96CBF349890C72500DFB2D7BDA67F23CEBE57CA93DF0D1027,71680,xls,含稅,visible,8D6D4E7DFF5BE2B239C4195E6B649D92BC72C21554DF166FD6BDF04CF8E6BEC5,2,1110801,華格,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-3FB79B273283|SRC-ALL-PROJECTS-FILE-3FB79B273283-XLS-SHEET-001,source_guard_policy_v2_autonomous_eval,,,,
SGD-3FF5DBB45D6CAA,SRC-ALL-PROJECTS,1110801,華格,111年度工作\111年度工作\111年度訂單(已完成)\1110801華格-內埔工業區汙水管路工程\華格-內埔工業區汙水管路工程工作紀錄單.xls,華格-內埔工業區汙水管路工程工作紀錄單.xls,SRC-ALL-PROJECTS-FILE-3FB79B273283,SRC-ALL-PROJECTS-FILE-3FB79B273283-XLS-SHEET-002,881608D165CE55F96CBF349890C72500DFB2D7BDA67F23CEBE57CA93DF0D1027,71680,xls,未稅,visible,AB3733DD575934A0AC790F32D0FDEEB7D3DCFD6E772FAB3384F45643C99796C3,2,1110801,華格,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-3FB79B273283|SRC-ALL-PROJECTS-FILE-3FB79B273283-XLS-SHEET-002,source_guard_policy_v2_autonomous_eval,,,,
