台灣自來水股份有限公司第三區管理處,,,,,,,,
材料清單,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
工程名稱,新竹縣富百田社區開發供水機電工程,,,會計科目,,,,
施工地點,新竹縣,,,工程編號,WQ11031101,,,
項 次,項  目  及  說  明,單 位,數 量,單 價,複 價,,,編碼(備註)
<一>,　施工費：(發包部份),,  ,,,,,
<A>,　　施工費(項目),,  ,,,,,
<1>,　　　竹北營運所,,  ,,,,,
40,壓力引接分水鞍等,處, 1.00 ,, 不含估價 ,,,
41,"不銹鋼管1/2""×2m/m(含接頭用另件)",M, 20.00 ,, 不含估價 ,,,
42,"銅質止水凡而1/2""",只, 4.00 ,, 不含估價 ,,,
43,水位計，LED指示器(四位數以上不含小數位),只, 1.00 ,, 不含估價 ,,,詳規範
44,水位計，壓力式,只, 1.00 ,, 不含估價 ,,,詳規範
45,中央監視主控制設備，現場數位控制器，PLC基座,只, 1.00 ,, 不含估價 ,,,詳規範
46,中央監視主控制設備，現場數位控制器，PLC電源模組,只, 1.00 ,, 不含估價 ,,,詳規範
47,中央監視主控制設備，現場數位控制器，PLC.CPU模組,只, 1.00 ,, 不含估價 ,,,詳規範
48,中央監視主控制設備，現場數位控制器，數位輸入模組,只, 1.00 ,, 不含估價 ,,,詳規範
49,中央監視主控制設備，現場數位控制器，數位輸出模組,只, 1.00 ,, 不含估價 ,,,詳規範
50,中央監視主控制設備，現場數位控制器，類比輸入模組,只, 1.00 ,, 不含估價 ,,,詳規範
51,中央監視主控制設備，現場數位控制器，通訊模組,只, 2.00 ,, 不含估價 ,,,詳規範
52,電力監視及控制設備，串列輸出轉換器,只, 1.00 ,, 不含估價 ,,,詳圖說或規範
53,洩壓閥感應開關(防水型),組, 1.00 ,, 不含估價 ,,,
54,洩壓閥感應開關(防水型),工, 3.00 ,, 不含估價 ,,,修改工資
55,電力監視及控制設備，串聯型突波消除抑制器,只, 6.00 ,, 不含估價 ,,,詳圖說或規範
56,電力監視及控制設備，訊號用突波消除器,只, 5.00 ,, 不含估價 ,,,詳圖說或規範
