decision_id,source_root_id,project_id,family_id,relative_path,file_name,file_id,sheet_id,file_sha256,file_size,workbook_format,worksheet_name,worksheet_visibility,worksheet_fingerprint,workbook_sheet_count,detected_project_identifiers,detected_customer_identifiers,detected_document_role,parser_name,parser_version,parse_status,formula_dependency_status,external_link_status,named_range_status,revision_status,duplicate_or_supersession,proposed_decision,final_decision,reason_codes,evidence_references,policy_version,reviewer_or_approver,decision_timestamp,approval_manifest_hash,sanitized_artifact_hash,sanitized_csv_path,sanitized_csv_sha256,non_empty_rows
SGD-550338FCE488CE,SRC-ALL-PROJECTS,1110501,詠翔鑫,111年度工作\111年度工作\111年度訂單(已完成)\1110501詠翔鑫-凱倫傘業有限公司 作業廠房、辦公室新建工程\凱倫傘業有限公司 作業廠房、辦公室新建工程(工作紀錄單)(變更後).xls,凱倫傘業有限公司 作業廠房、辦公室新建工程(工作紀錄單)(變更後).xls,SRC-ALL-PROJECTS-FILE-19F7C90C379F,SRC-ALL-PROJECTS-FILE-19F7C90C379F-XLS-UNPARSED,23AB9536284E287CED8530E844AAB467ED28A7BAA937EE69C5AB89DE95B1FC65,50688,xls,,unknown,,,1110501,詠翔鑫,spreadsheet_other,parser_required,none,PARSER_REQUIRED,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,PARSER_REQUIRED,UNREVIEWED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,SRC-ALL-PROJECTS-FILE-19F7C90C379F|SRC-ALL-PROJECTS-FILE-19F7C90C379F-XLS-UNPARSED,source_guard_policy_v1,,,,,,,
SGD-8583DD0BD47E2D,SRC-ALL-PROJECTS,1110501,詠翔鑫,111年度工作\111年度工作\111年度訂單(已完成)\1110501詠翔鑫-凱倫傘業有限公司 作業廠房、辦公室新建工程\凱倫傘業有限公司 作業廠房、辦公室新建工程(訂單成本分析表)(變更後).xls,凱倫傘業有限公司 作業廠房、辦公室新建工程(訂單成本分析表)(變更後).xls,SRC-ALL-PROJECTS-FILE-24DD84BF38D3,SRC-ALL-PROJECTS-FILE-24DD84BF38D3-XLS-UNPARSED,26657CA8ADF8C6F0F8AF4FB8DA3E049B8EA82F95CF4B5B48EFD483524AD5AAE7,39424,xls,,unknown,,,1110501,詠翔鑫,spreadsheet_other,parser_required,none,PARSER_REQUIRED,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,PARSER_REQUIRED,UNREVIEWED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,SRC-ALL-PROJECTS-FILE-24DD84BF38D3|SRC-ALL-PROJECTS-FILE-24DD84BF38D3-XLS-UNPARSED,source_guard_policy_v1,,,,,,,
