decision_id,relative_path,worksheet_name,worksheet_visibility,proposed_decision,reason_codes,parse_status,worksheet_fingerprint
SGD-B942772B4D967E,111年度工作\111年度工作\111年度訂單(已完成)\1110404宇博實業-芬園利民橋\芬園鄉利民橋加壓站合約.xls,,unknown,PARSER_REQUIRED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,PARSER_REQUIRED,
SGD-4AAA34B15BC701,111年度工作\111年度工作\111年度訂單(已完成)\1110404宇博實業-芬園利民橋\芬園鄉利民橋加壓站材料清單.xls,,unknown,PARSER_REQUIRED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,PARSER_REQUIRED,
SGD-0E8787B29AE33B,111年度工作\111年度工作\111年度訂單(已完成)\1110404宇博實業-芬園利民橋\宇博彰化芬園鄉利民橋訂單分析表.xls,,unknown,PARSER_REQUIRED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,PARSER_REQUIRED,
SGD-482AEBBBC709EB,111年度工作\111年度工作\111年度訂單(已完成)\1110404宇博實業-芬園利民橋\宇博彰化芬園鄉利民橋加壓站合約審查表.xls,,unknown,PARSER_REQUIRED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,PARSER_REQUIRED,
SGD-E6BBEA20AAB838,111年度工作\111年度工作\111年度訂單(已完成)\1110404宇博實業-芬園利民橋\宇博彰化芬園鄉利民橋加壓站生產能力分析表.xls,,unknown,PARSER_REQUIRED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,PARSER_REQUIRED,
SGD-03B5F2F172C34C,111年度工作\111年度工作\111年度訂單(已完成)\1110404宇博實業-芬園利民橋\宇博彰化芬園利民橋加壓站分項ls.xls,,unknown,PARSER_REQUIRED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,PARSER_REQUIRED,
SGD-E5692AEB484BBA,111年度工作\111年度工作\111年度訂單(已完成)\1110404宇博實業-芬園利民橋\工作記錄單宇博彰化芬園利民橋加壓站s.xls,,unknown,PARSER_REQUIRED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,PARSER_REQUIRED,
