decision_id,source_root_id,project_id,family_id,relative_path,file_name,file_id,sheet_id,file_sha256,file_size,workbook_format,worksheet_name,worksheet_visibility,worksheet_fingerprint,workbook_sheet_count,detected_project_identifiers,detected_customer_identifiers,detected_document_role,parser_name,parser_version,parse_status,formula_dependency_status,external_link_status,named_range_status,revision_status,duplicate_or_supersession,proposed_decision,final_decision,reason_codes,evidence_references,policy_version,reviewer_or_approver,decision_timestamp,approval_manifest_hash,sanitized_artifact_hash
SGD-AEF832B09557EF,SRC-ALL-PROJECTS,1120101,顯茂工程,112年度工作\112年度工作\1120101顯茂工程-聯電P6 WH棟新建工程\顯茂-聯電P6倉庫棟新建工程工作紀錄單.xls,顯茂-聯電P6倉庫棟新建工程工作紀錄單.xls,SRC-ALL-PROJECTS-FILE-56A187B15455,SRC-ALL-PROJECTS-FILE-56A187B15455-XLS-SHEET-001,883F639DC00385B813DFF35E8FE3873E3E547C7F3B1C9716855C3B0FA85A36C1,71680,xls,含稅,visible,8D6D4E7DFF5BE2B239C4195E6B649D92BC72C21554DF166FD6BDF04CF8E6BEC5,2,1120101,顯茂工程,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-56A187B15455|SRC-ALL-PROJECTS-FILE-56A187B15455-XLS-SHEET-001,source_guard_policy_v2_autonomous_eval,,,,
SGD-B0F75172BDF2A3,SRC-ALL-PROJECTS,1120101,顯茂工程,112年度工作\112年度工作\1120101顯茂工程-聯電P6 WH棟新建工程\顯茂-聯電P6倉庫棟新建工程工作紀錄單.xls,顯茂-聯電P6倉庫棟新建工程工作紀錄單.xls,SRC-ALL-PROJECTS-FILE-56A187B15455,SRC-ALL-PROJECTS-FILE-56A187B15455-XLS-SHEET-002,883F639DC00385B813DFF35E8FE3873E3E547C7F3B1C9716855C3B0FA85A36C1,71680,xls,未稅,visible,B0B201433915C0A055BC1EACB9AB3CC363C174FA5D2D936DB7344B2806319408,2,1120101,顯茂工程,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NAMED_RANGE_REVIEW_REQUIRED,CURRENT_OR_UNKNOWN,,QUARANTINED,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED|NAMED_RANGE_PRESENT,SRC-ALL-PROJECTS-FILE-56A187B15455|SRC-ALL-PROJECTS-FILE-56A187B15455-XLS-SHEET-002,source_guard_policy_v2_autonomous_eval,,,,
SGD-BECDB9C5C32B0C,SRC-ALL-PROJECTS,1120101,顯茂工程,112年度工作\112年度工作\1120101顯茂工程-聯電P6 WH棟新建工程\顯茂-聯電P6倉庫棟新建工程(訂單成本分析表).xls,顯茂-聯電P6倉庫棟新建工程(訂單成本分析表).xls,SRC-ALL-PROJECTS-FILE-AA9926E01A25,SRC-ALL-PROJECTS-FILE-AA9926E01A25-XLS-SHEET-001,433B157E0BD338E9406BE270700C9C40DFD77529A63F5CC51FC42F16E25717CE,39424,xls,Sheet1 (3),visible,BC93BC93CA93E53693CF4762685953010AC4C40E1B0581FBD73A3BC456E932C5,1,1120101,顯茂工程,spreadsheet_other,excel_com_legacy_xls,16.0,PARSED_WITH_FINGERPRINT,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,CANDIDATE,UNREVIEWED,CURRENT_PROJECT_ID_MATCH_REVIEWABLE|LEGACY_XLS_PARSED_BY_EXCEL_COM_READ_ONLY|MACROS_DISABLED,SRC-ALL-PROJECTS-FILE-AA9926E01A25|SRC-ALL-PROJECTS-FILE-AA9926E01A25-XLS-SHEET-001,source_guard_policy_v2_autonomous_eval,,,,
