decision_id,source_root_id,project_id,family_id,relative_path,file_name,file_id,sheet_id,file_sha256,file_size,workbook_format,worksheet_name,worksheet_visibility,worksheet_fingerprint,workbook_sheet_count,detected_project_identifiers,detected_customer_identifiers,detected_document_role,parser_name,parser_version,parse_status,formula_dependency_status,external_link_status,named_range_status,revision_status,duplicate_or_supersession,proposed_decision,final_decision,reason_codes,evidence_references,policy_version,reviewer_or_approver,decision_timestamp,approval_manifest_hash,sanitized_artifact_hash,sanitized_csv_path,sanitized_csv_sha256,non_empty_rows
SGD-853EBAA4F83219,SRC-ALL-PROJECTS,1110704,超控鏡面,111年度工作\111年度工作\111年度訂單(已完成)\1110704超控鏡面淨水場廢水處理\超控鏡面淨水場廢水生產能力分表.xls,超控鏡面淨水場廢水生產能力分表.xls,SRC-ALL-PROJECTS-FILE-417B53C98328,SRC-ALL-PROJECTS-FILE-417B53C98328-XLS-UNPARSED,6D413F092513FF53357861BC5343364ED75BC4CBB33BADE770C80652E29FAD46,90112,xls,,unknown,,,1110704,,spreadsheet_other,parser_required,none,PARSER_REQUIRED,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,PARSER_REQUIRED,UNREVIEWED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,SRC-ALL-PROJECTS-FILE-417B53C98328|SRC-ALL-PROJECTS-FILE-417B53C98328-XLS-UNPARSED,source_guard_policy_v1,,,,,,,
SGD-19170BC2DC99A6,SRC-ALL-PROJECTS,1110704,超控鏡面,111年度工作\111年度工作\111年度訂單(已完成)\1110704超控鏡面淨水場廢水處理\南化鏡面淨水場增設廢水材料清單.xls,南化鏡面淨水場增設廢水材料清單.xls,SRC-ALL-PROJECTS-FILE-5B89653F2A88,SRC-ALL-PROJECTS-FILE-5B89653F2A88-XLS-UNPARSED,90BA66A47D30633A2AC8FCC489ED5066AFF64D6E836A3C2AC270EF0830E845C2,43520,xls,,unknown,,,1110704,,allowed_material_list_workbook,parser_required,none,PARSER_REQUIRED,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,PARSER_REQUIRED,UNREVIEWED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,SRC-ALL-PROJECTS-FILE-5B89653F2A88|SRC-ALL-PROJECTS-FILE-5B89653F2A88-XLS-UNPARSED,source_guard_policy_v1,,,,,,,
SGD-9A1BE3FF90A133,SRC-ALL-PROJECTS,1110704,超控鏡面,111年度工作\111年度工作\111年度訂單(已完成)\1110704超控鏡面淨水場廢水處理\工作紀錄單超控鏡面淨水場.xls,工作紀錄單超控鏡面淨水場.xls,SRC-ALL-PROJECTS-FILE-A642C72DC326,SRC-ALL-PROJECTS-FILE-A642C72DC326-XLS-UNPARSED,EEB902692E42995E87CEE1871D51140A6CEA901DF6EDF5DEFD1F8437B52E853D,155648,xls,,unknown,,,1110704,,spreadsheet_other,parser_required,none,PARSER_REQUIRED,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,PARSER_REQUIRED,UNREVIEWED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,SRC-ALL-PROJECTS-FILE-A642C72DC326|SRC-ALL-PROJECTS-FILE-A642C72DC326-XLS-UNPARSED,source_guard_policy_v1,,,,,,,
SGD-99694604E4B7BB,SRC-ALL-PROJECTS,1110704,超控鏡面,111年度工作\111年度工作\111年度訂單(已完成)\1110704超控鏡面淨水場廢水處理\超控鏡面淨水場廢水會議審查.xls,超控鏡面淨水場廢水會議審查.xls,SRC-ALL-PROJECTS-FILE-CBEF412646C8,SRC-ALL-PROJECTS-FILE-CBEF412646C8-XLS-UNPARSED,D8D2D583831F77B40F3A26C9D05BB5EDAA500FDFD47E76EADD6244C227739B69,90112,xls,,unknown,,,1110704,,spreadsheet_other,parser_required,none,PARSER_REQUIRED,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,PARSER_REQUIRED,UNREVIEWED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,SRC-ALL-PROJECTS-FILE-CBEF412646C8|SRC-ALL-PROJECTS-FILE-CBEF412646C8-XLS-UNPARSED,source_guard_policy_v1,,,,,,,
SGD-B613FFE9963BA3,SRC-ALL-PROJECTS,1110704,超控鏡面,111年度工作\111年度工作\111年度訂單(已完成)\1110704超控鏡面淨水場廢水處理\南化鏡面淨水場增設廢水合約.xls,南化鏡面淨水場增設廢水合約.xls,SRC-ALL-PROJECTS-FILE-FD2AEFFAE00B,SRC-ALL-PROJECTS-FILE-FD2AEFFAE00B-XLS-UNPARSED,FF45D95B5FBF620E0CB6FD88C819EAA45B3913D33CB5326A9985F13C9D1E6433,41984,xls,,unknown,,,1110704,,allowed_contract_workbook,parser_required,none,PARSER_REQUIRED,NONE,NONE,NONE,CURRENT_OR_UNKNOWN,,PARSER_REQUIRED,UNREVIEWED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,SRC-ALL-PROJECTS-FILE-FD2AEFFAE00B|SRC-ALL-PROJECTS-FILE-FD2AEFFAE00B-XLS-UNPARSED,source_guard_policy_v1,,,,,,,
