台灣自來水公司第七區管理處,,,,,,,,
詳細價目表[標單],,,,,,,,
,,,,,,,,
,,,,,第 1 頁 共 6 頁,,,
,,,,,,,,
工程名稱,高雄廠大樹深井機電工程,,,會計科目,,,,
施工地點,高雄市大樹區  ,,,工程編號,WR1100701,,,
項 次,項  目  及  說  明,單 位,數 量,單 價, 複價 ,   廠  牌 ,   型  號 ,  備  註
<一>,施工費：(發包部份),,  ,,,,,
<A>,施工費(項目),,  ,,,,,
<1>,台電電表箱,,  ,,,,,
14,22mm2/1C PVC 電線,M, 30.00 ,, 不含估價 ,,,
15,14mm2/1C PVC 電線,M, 30.00 ,, 不含估價 ,,,
16,3.5mm2/3C PVC CABLE,M, 60.00 ,, 不含估價 ,,,
17,5.5mm2/3C XLPE CABLE,M, 60.00 ,, 不含估價 ,,,
18,2mm2/3C PVC CABLE,M, 1.00 ,, 不含估價 ,,,
19,人力，配線,全, 3.00 ,, 不含估價 ,,,
20,明管配置不銹鋼C型管架，管夾等固定,處, 3.00 ,, 不含估價 ,,,
21,電機基本材料及施工方法，五金及另料,全, 1.00 ,, 不含估價 ,,,
22,運雜費,全, 1.00 ,, 不含估價 ,,,
,配線電纜計,,  ,,,,,
<5>,配電盤,,  ,,,,,
1,接地系統(責任施工),式, 3.00 ,, 不含估價 ,,,單價分析表
2,深井配電盤,座, 3.00 ," 284,180 "," 852,540 ",,,詳圖規範
,圖面設計及管理費,式, 1.00 ," 39,760 "," 39,760 ",,,
,,,  , 合計 ," 941,500 ",,,未稅
,,,, 議價 ," 850,000 ",,,未稅
,順大電機賴明春111/2/15,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,  ,  ,  ,,,
,,,  ,  ,  ,,,
,,,  ,  ,  ,,,
,,,,,,,,
　　投標廠商：　　　　　　　　　　　　　　　　　　　負責人：,,,,,,,,
