台灣自來水公司第五區管理處,,,,,,
單價分析表[標單],,,,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
10,工作項目：交通錐及連桿(單側),,單位：10m,,計價代碼：0155640001,
,工料名稱,單位,數量,單價,複價,編碼(備註)
,警示燈號(安裝於交通錐;含乾電池),座,0.2,,,折舊品，每座以實際30工作天計
,交通錐、高70cm,個,0.3,,,折舊品，折舊品，每座以實際90工作天計
,連桿,支,0.3,,,折舊品，每支以實際90工作天計
,運雜費,式,1,,,含機具運搬
,零星工料,式,1,,,
,合計,10m,,,,
,計,m,,,,
,人工：　　　　　　　　機具：　　　　　　　　,,每 m 單價計,,,
,材料：　　　　　　　　雜項：　　　　　　　　,,,,,
　　投標廠商：　　　　　　　　　　　　　　　　　　　負責人：,,,,,,
