project_id,normalized_project_id,source_root_relative_path,project_family,project_family_source,revision_family,duplicate_family,year_prefix,workbook_candidate_count,candidate_permitted_input_count,strict_permitted_input_count,target_reference_file_candidate_count,inventory_v1_has_all_three_completed_targets,onedrive_availability,current_cohort,development_eligibility,exclusion_reasons,previous_screening_status,previous_bundle_status,current_source_hash_status,generator_candidate_status
1130602,1130602,113年度工作\1130602桂田-新市上品硯住宅新建工程\1130602 生管文件,桂田,file_index_customer,REVFAM-113-C12AC5607E32,DUPFAM-F7EA0E0F878D,113,4,4,1,59,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130603,1130603,113年度工作\1130603器識-柳環廠鍋爐室計設盤現場修改工程,器識,file_index_customer,REVFAM-113-14EBBFA95300,DUPFAM-57103F511C56,113,0,0,0,0,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets|no potential permitted source workbook in current inventory,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130604,1130604,113年度工作\1130604器識-廢氣處理量監控盤\1130604 生管文件,器識,file_index_customer,REVFAM-113-759EDBFB7293,DUPFAM-AEC5B707CE20,113,3,3,0,0,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130605,1130605,113年度工作\1130605宇博通霄鎮福源里供水\1130605 生管文件,宇博通霄鎮福源里供水,derived_from_project_name,REVFAM-113-86DE87FCFEF8,DUPFAM-1598BFCD9180,113,8,8,2,8,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130606,1130606,113年度工作\1130606宇博-大湖鄉義和村供水\1130606 生管文件,宇博,file_index_customer,REVFAM-113-1966E67B3337,DUPFAM-15E890AE7566,113,7,7,2,10,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130607,1130607,113年度工作\1130607核陽-零料購買,核陽,file_index_customer,REVFAM-113-49714A05860A,DUPFAM-A1AC421A05FD,113,2,2,0,0,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130608,1130608,113年度工作\1130608核陽-引掛式插座箱,核陽,file_index_customer,REVFAM-113-CBDF6F27AD1E,DUPFAM-E781F9477919,113,3,3,0,3,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130609,1130609,113年度工作\1130609卓文彬-表箱,卓文彬,file_index_customer,REVFAM-113-6DE50280308E,DUPFAM-3F39CA9E6AF0,113,2,2,0,0,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130610,1130610,113年度工作\1130610林東憲永華路住宅工程\1130610生管文件,林東憲永華路住宅工程,derived_from_project_name,REVFAM-113-44DBAEEF91E7,DUPFAM-C4349B48F2EA,113,6,6,1,4,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130701,1130701,113年度工作\1130701南寶球場-VCB既設汰換,南寶球場,file_index_customer,REVFAM-113-1A681A30A4B6,DUPFAM-B45441E8B3AD,113,3,3,0,0,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130702,1130702,113年度工作\1130702榮陳西屯區市政路延伸\1130702 生管文件,榮陳西屯區市政路延伸,derived_from_project_name,REVFAM-113-B5663CA50D08,DUPFAM-80CAEB9EAA4C,113,7,7,2,4,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130703,1130703,113年度工作\1130703飛達機電南科八路送水管\1130703 生管文件,飛達機電南科八路送水管,derived_from_project_name,REVFAM-113-47829D8EEF73,DUPFAM-C57931D34A56,113,7,7,2,2,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130704,1130704,113年度工作\1130704國倫各場儀表箱,國倫各場儀表箱,derived_from_project_name,REVFAM-113-8849D0380565,DUPFAM-E011AEC46BE6,113,4,4,1,2,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130705,1130705,113年度工作\1130705宇博台水名牌及保險絲,宇博台水名牌及保險絲,derived_from_project_name,REVFAM-113-7975157A6809,DUPFAM-39636313621F,113,2,2,0,0,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130706,1130706,113年度工作\1130706昶源粉體塗料,昶源粉體塗料,derived_from_project_name,REVFAM-113-E6F5864B90E4,DUPFAM-BAB0B13F69A9,113,2,2,0,0,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130707,1130707,113年度工作\1130707榮陳台南市楠西區灣丘里竹仔圾延管\1130707 生管文件,榮陳台南市楠西區灣丘里竹仔圾延管,derived_from_project_name,REVFAM-113-55BBAE687AF3,DUPFAM-88275252692F,113,7,7,2,9,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130708,1130708,113年度工作\1130708利信-水電新埔鎮南北平里供水\1130708 生管文件,利信,file_index_customer,REVFAM-113-7A33E86A7745,DUPFAM-0DAF4959815E,113,7,7,2,8,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130709,1130709,113年度工作\1130709榮陳港務局供水閥箱,榮陳港務局供水閥箱,derived_from_project_name,REVFAM-113-8B4C885EB434,DUPFAM-605B0B0B7831,113,3,3,2,2,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130710,1130710,113年度工作\1130710榮陳馬稠後園區追加TR,榮陳馬稠後園區追加TR,derived_from_project_name,REVFAM-113-BFF111DC1016,DUPFAM-836C77FE443B,113,1,1,0,0,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130711,1130711,113年度工作\1130711宗正-廠房打掃,宗正,file_index_customer,REVFAM-113-6AF1AB0E29C6,DUPFAM-F489AA90DE43,113,0,0,0,0,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets|no potential permitted source workbook in current inventory,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,NO_APPROVED_WORKSHEETS
1130712,1130712,113年度工作\1130712核陽-建誼及聯電零星工程\1130712 生管文件,核陽,file_index_customer,REVFAM-113-22DFBE49FFAA,DUPFAM-B29257DA9BAD,113,7,7,1,2,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130801,1130801,113年度工作\1130801詠翔鑫-水位控制盤\1130801 生管文件,詠翔鑫,file_index_customer,REVFAM-113-44CC4DE0238F,DUPFAM-BC980BF3B01F,113,4,4,1,2,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130802,1130802,113年度工作\1130802台灣色譜-緊急電源盤工程\1130802 生管文件,台灣色譜,file_index_customer,REVFAM-113-F6AAA664D6FE,DUPFAM-F1294299803E,113,4,4,1,6,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130803,1130803,113年度工作\1130803飛達-樹林區中正路\1130803 生管文件,飛達,file_index_customer,REVFAM-113-CB0BA0681AD0,DUPFAM-A1C296872032,113,7,7,2,3,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
1130804,1130804,113年度工作\1130804榮陳-花壇15號鑿井\1130804 生管文件,榮陳,file_index_customer,REVFAM-113-152F8614BF43,DUPFAM-BDA50A5B77C6,113,7,7,2,7,False,AVAILABLE,UNASSIGNED_DEVELOPMENT_INVENTORY,NOT_CURRENTLY_DEVELOPMENT_ELIGIBLE,inventory v1 did not detect all three completed targets,NOT_PREVIOUSLY_SCREENED,NOT_PREVIOUSLY_SCREENED,HASH_RECORDED_ALL_PROJECT_FILES,WORKSHEET_REVIEW_REQUIRED
