decision_id,relative_path,worksheet_name,worksheet_visibility,proposed_decision,reason_codes,parse_status,worksheet_fingerprint
SGD-3C05D07F7E3ACA,112年度工作\112年度工作\112年度工作(已完成)\1120102核陽工程-紅外線控制板\紅外線控制板-順大.xlsx,報價單 ,visible,AUTO_DENIED,CROSS_PROJECT_IDENTITY|FORBIDDEN_LABEL_OR_ROLE|STALE_TEMPLATE_SHEET,NOT_PARSED,
SGD-2DF55F5449B982,112年度工作\112年度工作\112年度工作(已完成)\1120102核陽工程-紅外線控制板\核陽-紅外線控制板工作紀錄單.xls,,unknown,PARSER_REQUIRED,HUMAN_REVIEW_REQUIRED|LEGACY_XLS_PARSER_REQUIRED,PARSER_REQUIRED,
